CollectingEvent,Chakra,Tree,Dist,Ht,Diam,Trt,Branch,Date,Fruit (y/n) ,Size (if Y for Fruit),Notes
2505,RB1,4,201,103,1.5,H,C2A7-8,10/28/2016,Y,0.7,
2505,RB1,4,211,140,1.25,O,C2B3-4,10/28/2016,Y,0.7,
2505,RB1,4,65,151,0.25,O,D3,10/28/2016,Y,0.7,
2505,RB1,4,178,133,0.75,H,D7E,10/28/2016,N,,
2505,RB1,4,213,194,1,O,E4L-M,10/28/2016,N,,
2505,RB1,4,225,198,1.25,O,E4L-M,10/28/2016,N,,
2505,RB1,4,185,165,1.75,H,E3D,10/28/2016,Y,0.7,
2505,RB1,4,215,186,1.75,O,E3H-I,10/28/2016,Y,0.65,
2505,RB1,5,21,27,10,O,A,10/28/2016,N,,
2505,RB1,5,72,78,8,H,A1,10/28/2016,Y,0.8,
2505,RB1,5,63,62,5.5,O,A2,10/28/2016,N,,
2505,RB1,5,67,66,5.5,O,A2,10/28/2016,Y,0.7,
2505,RB1,5,148,90,1.75,H,A2A,10/28/2016,N,,
2505,RB1,5,206,117,0.5,O,A2A8,10/28/2016,N,,
2505,RB1,5,168,97,1.5,O,A2C,10/28/2016,N,,
2505,RB1,5,167,120,4,H,A4-5,10/28/2016,N,,
2505,RB1,6,58,175,2.5,O,A/B,10/28/2016,N,,
2505,RB1,6,50,181,2.5,H,A2,10/28/2016,Y,0.65,
2505,RB1,6,85,145,3.5,O,D4-5,10/28/2016,N,,
2505,RB1,6,122,147,0.75,O,D5C,10/28/2016,N,,
2505,RB1,6,122,147,0.75,O,D5C,10/28/2016,N,,
2505,RB1,7,48,83,4.5,H,OF8,10/28/2016,N,,
2505,RB1,7,56,92,4.5,O,OF9,10/28/2016,N,,
2505,RB1,7,79,126,4.5,H,OF11,10/28/2016,Y,0.7,
2505,RB1,7,112,159,4,O,OF11,10/28/2016,N,,
2505,RB1,7,28,92,5.5,O,OF13,10/28/2016,N,,
2505,RB1,7,28,92,5.5,O,OF13,10/28/2016,N,,
2505,RB1,7,10,89,5,O,OF14,10/28/2016,N,,
2505,RB1,7,-,88,14.5,H,MT,10/28/2016,Y,0.75,
2505,RB1,8,125,209,0.75,O,A2C2 ,10/28/2016,N,,
2505,RB1,8,124,190,3,H,B5,10/28/2016,N,,
2505,RB1,8,147,170,1.25,O,B2C,10/28/2016,N,,
2505,RB1,8,125,198,2.5,O,B4B-C,10/28/2016,N,,
2506,CC2,9,125,171,3.5,O,A1,10/30/2016,N,,
2506,CC2,9,218,185,1.75,H,A1A2-3,10/30/2016,N,,
2506,CC2,9,222,189,1.5,O,A1A3-4,10/30/2016,N,,
2506,CC2,9,222,189,1.5,O,A1A3-4,10/30/2016,N,,
2506,CC2,9,225,160,1,H,A1C,10/30/2016,N,,
2506,CC2,9,232,165,1,O,A1C,10/30/2016,N,,
2506,CC2,9,229,148,0.75,O,A1E,10/30/2016,N,,
2506,CC2,9,241,157,0.5,H,A1E,10/30/2016,N,,
2506,CC2,9,238,140,1.25,O,A1F,10/30/2016,N,,
2506,CC2,9,6,78,5,O,C,10/30/2016,N,,
2506,CC2,9,59,114,4,H,C,10/30/2016,Y,0.5,
2506,CC2,9,88,129,3,O,C,10/30/2016,N,,
2506,CC2,9,132,149,2,O,C2,10/30/2016,N,,
2506,CC2,9,130,150,2,H,C2-3,10/30/2016,Y,0.7,
2506,CC2,9,148,152,1.75,O,C4-5,10/30/2016,N,,
2506,CC2,10,64,170,8.5,O,A,10/30/2016,N,,
2506,CC2,10,77,172,8.5,H,A,10/30/2016,N,,
